Run File,Feed Rate Ave (RPS),Spool Wind Rate Set (RPS),Spool Rate Ave (RPS),Wind BF Rate Ave (PPS),Heater Set (C),Heater Temp Ave (C),Filament Diamter Ave (mm),Filament Std Dev (mm),System Power Ave (W),System Power Std Dev (W),Heater Current Ave (mA),Heater Current Std Dev (mA),Spool DC Motor Current Ave (mA),Spool DC Motor Current Std Dev (mA),Stepper and 12V Current Ave (mA),Stepper and 12V Current Std Dev (mA)
log_Manual Control__2020-04-12_12-13-50.csv,0.0009999999999999926,1.0,1.0001319726313798,127.73071920000001,90.0,90.0093129062211,0.2134874651810587,0.016746499406160787,29.04105225626741,1.0001976436691482,1778.18625812442,79.32237713021196,134.91289693593308,4.725082183109357,506.6079851439184,21.983722673202333
log_Manual Control__2020-04-12_17-26-48.csv,0.0003124999999999955,0.25,0.25098178690342643,20.426288132554447,90.0,90.06816199376966,0.22838317757009322,0.04428594045017629,30.06467383177567,1.1239807505391213,1956.1707165109035,89.19635100123273,48.89093457943925,2.8438201985650435,503.17694704049825,23.016113829513085
log_Manual Control__2020-04-12_17-26-48.csv,0.0003124999999999964,0.5,0.4998986029067239,28.561457109999964,90.0,90.08043383947924,0.17280477223427362,0.012332215631980404,29.12695132321042,1.001411109998734,1849.457700650759,83.00187458808551,76.48160520607377,2.4966817161234256,503.08720173535795,21.010637807209378
log_Manual Control__2020-04-12_17-49-04.csv,0.0005000000000000003,0.25,0.2542318431506167,45.15962886999997,90.0,89.85064197530858,0.302967901234568,0.02293234683749942,28.68502548148145,1.0939118879745562,1836.0953086419747,89.05296956771159,48.17651851851851,4.276479881399841,506.0390123456792,19.27269548094745
log_Manual Control__2020-04-12_17-49-04.csv,0.0005000000000000003,0.5,0.4997766371593282,63.8653596199993,90.0,90.0438574423481,0.21700209643605836,0.014404787216595261,28.366542893081753,0.9316408665346828,1785.2955974842773,76.50059318651105,75.5230398322851,2.469729296670025,507.1207547169813,19.77799072394018
log_Manual Control__2020-04-12_17-49-04.csv,0.0005000000000000003,0.75,0.7500665935102465,78.21877165999959,90.0,90.01317622950835,0.17355532786885258,0.021766282637400755,28.591124262295054,0.9265181486235541,1773.0221311475411,75.4254669841794,104.30350409836068,4.09963420714906,506.1278688524585,20.256321597172157
log_Manual Control__2020-04-12_20-11-28.csv,0.0010000000000000007,0.25,0.24974826112809867,63.86535961999929,90.0,89.51119834710752,0.41762603305785145,0.058876916776936655,32.0883674380165,1.2622810727361955,2122.671900826446,100.04333944750124,47.60568181818179,11.670948508097997,503.01074380165267,20.594691879392222
log_Manual Control__2020-04-12_20-11-28.csv,0.0010000000000000007,0.5,0.5000718913908513,90.31925775000072,90.0,90.08301455301464,0.2986361746361748,0.014298843962692884,30.372612972972984,1.059486346684728,1949.8852390852392,81.22323642793444,75.38187110187104,16.53777543963166,505.6931392931397,21.234476062902353
log_Manual Control__2020-04-12_20-11-28.csv,0.0010000000000000007,0.75,0.7499180800023709,110.61804770000099,90.0,90.06137440758299,0.2402843601895735,0.013904311330668958,30.02132445497631,0.9515211799625893,1890.8265402843601,78.28622104546322,104.70691943127962,4.211643795084785,506.90473933649264,21.708702597327406
log_Manual Control__2020-04-12_20-11-28.csv,0.0010000000000000007,1.0,1.0001382454121623,127.73071920000062,90.0,90.03720720720716,0.2165608108108103,0.014915363790181985,29.54819459459459,1.001766528349548,1819.628378378377,80.17814367596554,135.41905405405384,4.473079244698385,510.2923423423429,20.43278105592523
log_Manual Control__2020-04-12_20-11-28.csv,0.0010000000000000007,1.5,1.5001171897247458,156.4375433000008,90.0,90.0401010101008,0.17399999999999993,0.012792996501745433,29.824750000000012,0.9503277201561656,1787.266161616161,76.52498204757329,186.46356060606055,5.890939294459005,512.060606060606,19.60699342133224
log_Manual Control__2020-04-12_20-44-15.csv,0.0020000000000000013,1.0,0.9998113484379082,180.6385155000008,90.0,90.00271241830065,0.2901045751633989,0.022391791059852773,29.55722235294118,0.9429582132937026,1825.102614379085,76.0541967652123,128.081633986928,15.208522307047323,510.1045751633983,21.671697460109783
log_Manual Control__2020-04-12_20-44-15.csv,0.0020000000000000013,0.75,0.7501558303076936,156.43754330000016,90.0,89.94699633699634,0.3470549450549447,0.02587513681579174,28.91505318681317,0.9267026478939745,1796.668864468866,75.15896842272114,98.82641025641031,3.7051062152609076,514.445421245421,20.366047002352882
log_Manual Control__2020-04-12_20-44-15.csv,0.0020000000000000013,0.5,0.5002040261685389,127.73071920000058,90.0,90.0110393258427,0.41141292134831464,0.021370659138292027,28.41390977528092,0.957472870532709,1781.1449438202246,77.05165417421453,71.83660112359551,2.3214034046692524,512.18202247191,20.640059841586755
log_Manual Control__2020-04-12_21-03-31.csv,0.002999999999999994,0.75,0.7492092030055569,191.59607890000024,90.0,89.96016666666668,0.36513333333333353,0.12323175620821762,28.687164666666668,1.0033387092891939,1779.8750000000014,80.3169004544326,97.68905555555558,3.9776187494687094,513.1794444444442,20.917599837873517
log_Manual Control__2020-05-21_12-33-02.csv,0.0010000000000000007,1.0,0.9989971627616717,127.7307192000006,85.0,85.06427518427519,0.2146830466830464,0.01389546768633403,28.474563243243242,1.0076071613947022,1700.8353808353813,76.81254211967357,138.22926289926295,19.11214078965826,534.4889434889435,21.845445707106066
log_Manual Control__2020-05-21_12-56-02.csv,0.0010000000000000007,1.0,0.9985014232871294,127.7307192000006,80.0,80.0068811881188,0.2133143564356433,0.015215823415611462,25.32970544554452,1.0734215670848648,1438.4079207920797,72.7216627620142,134.9825247524753,22.657556270278242,536.5074257425744,44.84543340826485
log_Manual Control__2020-05-21_13-10-43.csv,0.0010000000000000007,1.0,0.9994136507629625,127.7307192000006,77.5,77.50703703703716,0.2096246913580245,0.015811932538749008,24.290733037037022,1.0505816984437064,1360.8167901234563,74.32512410907638,129.05745679012338,33.655759826605795,534.2395061728395,37.45662864512104
log_Manual Control__2020-05-21_13-42-43.csv,0.0010000000000000007,1.0,0.998599554705736,127.7307192000006,82.5,82.50279301745637,0.21500997506234382,0.028717675745947347,25.36826723192021,7.8040353657694705,1473.130673316709,539.3369817486983,120.34124688279306,64.67261750108307,533.3775561097261,37.26250655836867
log_Manual Control__2020-05-22_09-14-30.csv,0.0005000000000000003,0.25,0.24984538005596052,45.15962886999995,85.0,85.01941605839413,0.29980048661800496,0.018929886030520066,26.333088467153285,1.893443918977408,1602.7036496350368,390.8290570885133,44.09678832116791,33.665837289330376,530.9980535279808,29.30500991226764
log_Manual Control__2020-05-22_09-14-30.csv,0.0005000000000000003,0.5,0.4997773981487605,63.86535961999929,85.0,85.01239669421489,0.21305371900826423,0.014765005583034828,25.57965099173554,7.10776997404928,1538.7181818181841,588.6546113905736,69.07890495867765,43.33961793381816,527.6338842975206,44.27659543491911
log_Manual Control__2020-05-22_09-14-30.csv,0.0005000000000000003,0.75,0.749911520751154,78.2187716599993,85.0,85.01569124423956,0.17734101382488482,0.01161840639240665,25.896824239631353,4.438902391479372,1558.7953917050688,143.60817804319322,89.38264976958537,63.49976555852713,507.89585253456227,331.1798367630051
log_Manual Control__2020-05-22_09-14-30.csv,0.0010000000000000007,0.25,0.24968737164950947,63.86535961999947,85.0,85.00174019607839,0.417588235294118,0.02759503674391136,24.834560882352946,7.908105467883931,1524.4102941176463,551.4616188309462,31.544338235294106,75.03913338464626,536.0573529411765,222.90513477804996
log_Manual Control__2020-05-22_09-14-30.csv,0.0010000000000000007,0.5,0.5005389558488667,90.31925775000059,85.0,84.99664987405538,0.2972846347607058,0.01944980825332245,25.698241511335013,4.8386002990231365,1553.0649874055428,399.8472573374932,68.18602015113355,40.67815479535851,524.0846347607054,45.697152959082224
log_Manual Control__2020-05-22_09-14-30.csv,0.0010000000000000007,0.75,0.7501673922512453,110.61804770000096,85.0,84.98092039800991,0.24331592039800956,0.012775920120926364,26.63071164179103,1.0525096252081978,1591.9348258706468,80.21679870269851,100.82395522388065,13.571649084793755,526.6950248756217,22.094221835766426
log_Manual Control__2020-05-22_09-14-30.csv,0.0010000000000000007,1.0,0.9992574476594204,127.7307192000006,85.0,84.9793961352656,0.21278502415458903,0.01348803318143648,26.362191594202898,5.932134944679,1531.8241545893727,414.3906818300096,122.21234299516907,56.7057726973978,535.5473429951687,283.7674408974793
log_Manual Control__2020-05-22_09-14-30.csv,0.0010000000000000007,1.5,1.500162112584126,156.43754330000044,85.0,85.00158730158725,0.17812698412698383,0.014409935602224493,27.11007847619049,5.297699900588536,1548.3244444444438,438.4801393645177,179.26936507936495,30.682538596974474,525.1453968253974,37.2858958334966
log_Manual Control__2020-05-22_10-51-30.csv,0.0020000000000000013,1.5,1.5004367321932366,221.2360954000007,85.0,84.96864734299515,0.24201449275362313,0.020283064402644886,27.714701449275353,1.638663328806906,1596.1420289855073,132.12941479517596,168.02038647342985,47.77531655253132,522.4618357487924,56.78716560276798
log_Manual Control__2020-05-22_10-51-30.csv,0.0020000000000000013,1.0,0.998646380608059,180.6385155000006,85.0,84.97219780219771,0.2956739926739929,0.019975351111173288,26.990554725274734,1.4826296356955304,1592.9992673992676,154.11900529648827,121.73318681318678,37.59915620765276,531.1589743589745,22.258806957685017
log_Manual Control__2020-05-22_10-51-30.csv,0.0020000000000000013,0.75,0.7497539756975318,156.4375433000005,85.0,84.96648148148147,0.33958950617283923,0.02344035341406849,26.043315555555562,9.394786942198468,1581.7,426.5369982754519,88.49058641975307,51.533803339671636,532.9283950617279,37.002017297756964
log_Manual Control__2020-05-22_10-51-30.csv,0.0020000000000000013,0.5,0.5003136045206183,127.73071920000059,85.0,84.97935567010308,0.4111005154639175,0.024164759609165434,26.330985154639176,1.6649444413951278,1606.6979381443302,100.73863896614192,64.76953608247418,43.71964695077016,528.2582474226808,43.616269029483924
log_Manual Control__2020-05-22_10-51-30.csv,0.0030000000000000022,1.5,1.500328678243589,270.95777320000064,85.0,84.89064102564106,0.2932115384615385,0.0318022132756632,28.015849230769252,1.0649091702145994,1624.1051282051278,71.2787619772939,184.14435897435894,30.485423702092643,532.3858974358973,33.03348144850566
log_Manual Control__2020-05-22_10-51-30.csv,0.0030000000000000022,1.0,1.002279455587378,221.23609540000066,85.0,84.93951456310674,0.356398058252427,0.025967837445137372,27.19463533980583,1.8276233209668993,1613.6708737864092,144.7725274646438,119.13398058252429,35.983682327323976,532.9747572815536,36.65176592011293
log_Manual Control__2020-05-22_10-51-30.csv,0.0030000000000000022,0.75,0.7502441337148605,191.59607889999998,85.0,84.94835341365459,0.40355823293172705,0.0409078136328467,26.547428915662653,5.404866725109212,1618.5132530120495,88.96515551737141,92.96008032128515,36.433177995674356,501.6200803212854,430.992127480298
log_Manual Control__2020-05-22_10-51-30.csv,0.004000000000000003,1.5,1.4999297252230765,312.87508660000003,85.0,84.84984615384622,0.32856923076923067,0.02417312828714238,27.826186153846137,9.84562293164162,1646.9738461538466,78.87658258105549,170.47407692307684,55.841558038615645,563.6723076923078,498.32385099200445
log_Manual Control__2020-05-22_10-51-30.csv,0.004000000000000003,1.0,1.0001158753529404,255.46143850000016,85.0,84.92588235294117,0.39944117647058847,0.029124900565105003,27.21119294117647,2.3302393500360403,1628.5058823529412,171.5391144195517,109.65394117647058,83.42311204238761,528.2517647058822,65.26183333586724
log_Manual Control__2020-05-22_10-51-30.csv,0.005000000000000004,1.5,1.4999034234792887,349.80498110000036,85.0,84.8301183431953,0.3651479289940828,0.04617560308312354,27.796655147928988,6.696568213075908,1658.975147928994,156.46644885339944,177.17887573964495,39.343851707489144,530.1147928994084,62.78715618857508
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.25,0.24999080432545873,45.15962887000006,80.0,80.0874015748032,0.30355118110236273,0.01821554078892266,23.138546456692914,11.229036432808673,1420.927034120735,846.884189702012,8.666404199475066,153.3656476097989,503.82624671916,353.90977164694306
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.5,0.500615002959493,63.8653596199995,80.0,80.0255443037974,0.21520253164556932,0.016121823455926027,23.57116860759492,7.9448822909924015,1401.0116455696202,552.3192477522764,49.60589873417722,90.66964338948016,504.99848101265815,347.01971490933744
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.75,0.7502215450788058,78.21877165999933,80.0,80.00796195652175,0.18083695652173906,0.013955575428297088,23.786746956521732,6.748582408218324,1399.958152173912,409.2188500494733,83.8539130434782,71.08139410120742,487.90923913043474,502.8460886854262
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.25,0.2494973917437182,63.865359619999495,80.0,79.98050251256271,0.4174246231155781,0.019142264597957183,23.71389407035173,4.982519523680356,1390.0447236180894,534.0696505580078,29.875402010050227,79.5118990079033,511.8015075376884,344.3331312659214
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.5,0.49952248968148183,90.3192577500006,80.0,79.98765432098769,0.2954148148148152,0.015893232191185908,23.842184000000007,5.745624397603232,1398.4745679012342,190.90362523753987,60.26125925925928,76.25809415337757,521.7955555555556,440.99156396143076
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.75,0.7496767316191655,110.61804770000096,80.0,79.97277641277641,0.24279115479115462,0.016524444361946156,24.60818859950861,1.6639772982002696,1432.4796068796065,124.02321231904024,95.45609336609346,45.108125295843834,523.478132678133,52.08309662587267
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,1.0,0.9996073167858938,127.7307192000006,80.0,80.00337531486146,0.21374559193954654,0.01106720799902452,24.423261158690174,4.518368440857055,1404.3385390428202,167.42289360753742,114.83632241813599,52.25282191960977,512.1889168765744,344.4251417372034
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,1.5,1.5000715076360749,156.43754330000044,80.0,79.9974050632911,0.17885759493670864,0.009392768540956092,24.875277341772154,7.9753859310164925,1338.463924050632,709.4812288281302,168.96553797468334,52.52567282219192,545.0588607594937,321.436216216905
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,1.5,1.5001166782439017,221.23609540000066,80.0,79.95746341463416,0.23934634146341452,0.012904705357854065,24.983562146341463,6.166492213789994,1429.5502439024383,120.2328641838087,165.0271707317074,68.42375972494627,499.17951219512213,477.9324258677572
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,1.0,0.9987162986106873,180.63851550000052,80.0,79.96839694656487,0.29030534351145054,0.013142830529455684,24.828651297709932,1.6849212387219745,1424.2526717557248,122.23610143795523,116.29297709923657,62.831101337772864,533.7641221374045,22.941907541444703
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.75,0.7501649654574147,156.43754330000044,80.0,79.99082018927443,0.32529022082018916,0.018297065172820096,23.87530940063092,6.970999678078881,1398.2391167192432,432.60354491454996,90.03488958990538,48.61277325766408,534.0984227129339,46.623614419679285
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.5,0.5004848030206183,127.73071920000059,80.0,79.98706185567005,0.4006623711340207,0.03321182390469354,23.3457006185567,6.847734897756567,1375.6577319587632,548.0185069839426,47.15432989690719,116.55403845832693,509.32371134020644,351.01054285224177
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.25,0.24968579887869785,90.31925775000049,80.0,79.99881656804732,0.5731360946745562,0.03160934296603963,23.744005207100585,2.6384568539187083,1421.3000000000006,132.58729278371717,23.3106804733728,107.92786856455888,527.2029585798813,75.153822022001
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,1.5,1.5002349420585581,270.95777320000144,80.0,79.91918918918911,0.2842117117117118,0.015934119109882308,26.198330270270265,1.0885461314255611,1470.2936936936942,81.58418496294887,177.50040540540553,32.02333321143585,531.5234234234237,28.469497704374017
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,1.0,1.0001113181207724,221.2360954000007,80.0,79.9364734299517,0.3472946859903379,0.01987717432138836,25.36891768115942,1.663831318404403,1470.6009661835749,90.43333112134448,116.89376811594204,42.48269989756709,534.961352657005,29.566611550020184
log_Manual Control__2020-05-22_14-35-17.csv,0.003,0.75,0.750029817932355,191.5960789000005,80.0,79.96467647058819,0.3968264705882355,0.02427210313212186,25.149157764705894,1.7626451307516613,1462.7517647058821,144.58580297406584,95.64647058823527,25.153610375851322,532.382352941177,21.921456341553856
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,0.5,0.4995350577209303,156.43754330000036,80.0,79.95531561461789,0.4789667774086375,0.030061030575263947,24.86185235880398,0.9765952689577968,1474.2199335548178,69.0472833257199,64.0505647840531,46.00940098153806,534.0730897009968,22.609330819124068
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,1.5,1.500150219715384,312.87508660000003,80.0,79.82946153846157,0.3188615384615385,0.02537402500396046,28.119535384615375,2.113989904593378,1633.6476923076925,160.9962892419327,175.023923076923,64.94191717966741,538.7138461538462,37.05145752156414
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,1.0,0.9993939023023254,255.46143850000018,80.0,79.9625,0.3938430232558141,0.0404482747901135,25.702651395348834,9.797963062481173,1534.393023255814,571.7899949401124,116.4300581395349,58.711503664696735,536.7186046511625,40.19983274128862
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,0.75,0.7496968750192313,221.2360954000007,80.0,79.95125000000006,0.45072115384615397,0.02931041816752126,25.648462500000008,2.279616060879933,1483.0394230769232,530.1168167531537,83.44250000000002,76.90219928945825,529.6278846153846,72.50835161855996
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,0.5,0.4995852756729327,180.63851550000055,80.0,79.99451127819553,0.5493984962406018,0.042786691609217095,24.219702857142863,9.242227102221262,1496.0533834586463,252.11289715728014,47.506090225563916,126.43774868221037,493.18646616541344,590.2914113441851
log_Manual Control__2020-05-26_10-47-57.csv,0.005000000000000004,1.0,0.998328750042857,285.6145710999996,80.0,80.0101428571429,0.41234285714285707,0.05271939719589811,24.840469714285717,9.8157401541286,1494.6957142857152,143.29565847190275,122.04178571428575,44.229983681892925,447.7142857142856,810.9091390142894
log_Manual Control__2020-05-26_10-47-57.csv,0.005000000000000004,0.75,0.7497771442159091,247.34947419999932,80.0,79.87136363636354,0.48427840909090897,0.03669124908939813,25.306374545454545,1.619509210980314,1464.4420454545464,549.8257118597475,83.63999999999999,67.42671693454628,524.756818181818,63.443991579443264
log_Manual Control__2020-05-26_10-47-57.csv,0.004999999999999986,0.5,0.49964326902109757,201.95999999999927,80.0,79.91628691983122,0.5935105485232067,0.05173593412496377,24.80764506329113,5.906213909978921,1465.6337552742627,482.0902562041053,55.4518565400844,75.4497542701102,539.7569620253166,59.76589927504925
